p80_http_get_headers_server,server_header_counter
Apache/2.0.59 (Win32) PHP/5.1.6,3
Apache/2.4.10,3
Oracle-Application-Server-10g/10.1.2.0.0 Oracle-HTTP-Server,3
Abyss/2.9.3.6-X2-Win32 AbyssLib/2.9.3.6,3
Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny9 with Suhosin-Patch,3
Apache/2.4.16 (Win64) PHP/5.6.11 OpenSSL/1.0.1p,3
Apache/2.2.26 (Unix) mod_ssl/2.2.26 OpenSSL/0.9.8za DAV/2,3
Apache/2.2.25 (Win32) mod_ssl/2.2.25 OpenSSL/0.9.8y mod_jk/1.2.39,2
Apache/2.4.17 (Win32) OpenSSL/1.0.2d PHP/5.6.20,2
ATR-HTTP-Server/2.9.2,2
Apache/2.0.64 (FreeBSD) PHP/5.2.17 with Suhosin-Patch,2
Apache/1.3.41 (Unix) mod_perl/1.29 PHP/5.2.6,2
Apache/2.2.14,2
Apache/2.4.17 (Unix) OpenSSL/1.0.1q PHP/5.6.15 mod_perl/2.0.8-dev Perl/v5.16.3,2
Apache/2.2.6 (FreeBSD) PHP/5.2.5 with Suhosin-Patch,2
Apache/2.2.22 (Win32) mod_wsgi/3.3 Python/2.7.4,2
Jetty(8.y.z-SNAPSHOT),2
Apache/2.4.18 (Win64) PHP/7.0.5,2
Apache/2.0.54 (ASPLinux),2
ZyXEL-RomPager/3.02,2
Apache/2.2.31 (Win32) mod_ssl/2.2.31 OpenSSL/1.0.2h mod_jk/1.2.41,2
Xitami,2
PDR-M800/1.0,2
GlassFish Server Open Source Edition  4.1,2
nginx/1.8.0 + Phusion Passenger 5.0.21,2
Apache/2.4.12 (Red Hat) PHP/5.5.21,2
Apache/2.2.25 (Win32) PHP/5.3.28,2
ncnd.opera.com,2
Oracle XML DB/Oracle Database,2
Kerio Connect 7.3.1 patch 2,2
Apache/2.0.63,2
nginx/1.9.2,2
TwistedWeb/8.2.0,2
Apache/2.2.26 (Unix) mod_ssl/2.2.26 OpenSSL/1.0.1e-fips mod_auth_passthrough/2.1 mod_bwlimited/1.4 mod_fcgid/2.3.6,2
nginx/1.0.5,2
Generic WEB Server,2
nginx/1.7.8,2
Apache/1.3.34 (Unix),2
Apache/2.0.65 (Win32),2
lwIP/1.3.1 (http://savannah.nongnu.org/projects/lwip),2
Jetty(9.2.z-SNAPSHOT),2
nginx/0.6.34,2
Kerio MailServer 6.5.0 patch 1,2
Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch mod_ssl/2.2.9 OpenSSL/0.9.8g,2
openresty/1.9.7.1,2
Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny13 with Suhosin-Patch,2
Apache/2.2.25 (Unix) mod_ssl/2.2.25 OpenSSL/1.0.0-fips mod_auth_passthrough/2.1 mod_bwlimited/1.4 PHP/5.2.17,2
Apache/2.2.26 (Win32) mod_ssl/2.2.26 OpenSSL/0.9.8y,2
SIMP LIGHT,2
Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/1.0.1e-fips Phusion_Passenger/4.0.58 mod_bwlimited/1.4 mod_perl/2.0.8 Perl/v5.8.8,2
Apache/2.4.16 (Win32),2
Kerio Connect 8.2.1,2
Apache/2.2.15 (Win32) PHP/5.4.30,2
Apache/2.2.15,2
Apache/2.4.9 (FreeBSD) OpenSSL/1.0.1l-freebsd,2
Rumpus,2
Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips Phusion_Passenger/5.0.29,2
Apache/2.2.17 (Win32) mod_ssl/2.2.17 OpenSSL/0.9.8o PHP/5.3.4 mod_perl/2.0.4 Perl/v5.10.1,2
Apache/2.2.25 (Win32) PHP/5.4.20,2
Apache/2.2.3 (Debian) PHP/4.4.4-8+etch6 mod_ssl/2.2.3 OpenSSL/0.9.8c,2
Apache/2.2.17 (Win32) PHP/5.2.17,2
Apache/2.4.16 (Unix),2
Apache/2.4.18 (Win32) OpenSSL/1.0.2e PHP/7.0.8,2
nginx/1.9.14,2
Apache/2.2.29 (Unix) PHP/5.3.29 mod_ssl/2.2.29 OpenSSL/1.0.2h,2
Kerio Connect 7.3.0,2
Apache/2.4.23 (Win32) OpenSSL/1.0.2h PHP/5.6.24,2
Apache/2.4.23 (Win64) OpenSSL/1.0.2j,2
Apache/2.4.23 (FreeBSD) PHP/5.6.24,2
Apache/2.4.10 (Debian) OpenSSL/1.0.1t mod_wsgi/4.3.0 Python/2.7.9,2
LuCIttpd/0.91,2
Apache/2.4.10 (Win32),2
Abyss/2.7.0.0-X2-Win32 AbyssLib/2.7.0.0,2
nginx/1.6.2 + Phusion Passenger 5.0.6,2
nginx/1.9.7,2
Siemens Switzerland Ltd.,2
Kerio Connect 8.3.2,2
Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny4 with Suhosin-Patch mod_python/3.3.1 Python/2.5.2 mod_perl/2.0.4 Perl/v5.10.0,2
Apache/2.2.15 (Linux/SUSE),2
Proxy,2
Apache/2.2.8 (Unix) mod_ssl/2.2.8 OpenSSL/0.9.8c DAV/2 PHP/5.2.8 mod_perl/2.0.4 Perl/v5.8.8,2
nginx/1.0.11,2
Apache/2.2.19 (Win32) PHP/5.2.8,2
lighttpd/1.4.37,2
lighttpd/1.4.32 - Palapa Web Server (http://alfanla.com),2
Apache/1.3.34 (Unix) PHP/4.4.2,2
boss/1.0 (BOSS),2
WildFly/10,2
LightTPD/1.4.32 (Win32),2
Apache/2.0.54 (Debian GNU/Linux) mod_ssl/2.0.54 OpenSSL/0.9.7e,2
Apache/2.2.25 (FreeBSD) PHP/5.5.0 mod_ssl/2.2.25 OpenSSL/0.9.8y DAV/2,2
Mikrotik HttpProxy,2
Apache/2.2.31 (Unix) mod_ssl/2.2.31 OpenSSL/1.0.2h DAV/2 PHP/5.6.24,2
Apache/2.2.25 (Win32) PHP/5.3.27,2
Apache/2.0.59 (Unix) PHP/5.1.0 mod_ssl/2.0.59 OpenSSL/0.9.8h DAV/2,2
lighttpd/1.4.26,2
GHC,2
Apache/2.2.19 (Unix) mod_ssl/2.2.19 OpenSSL/0.9.8r mod_jk/1.2.32,2
